group;species;dry.mass.g;body.temp.C;mortality.year;ref
Mammal;Nyctereutes procyonoides;1.50E+003;38;0.233;1,28
Mammal;Ochotona collaris;3.23E+001;38;0.435;1,28
Mammal;Ochotona dalli;1.83E+004;38;0.107;3
Mammal;Ochotona princeps;3.94E+001;38;0.435;1,28
Mammal;Ochotona princeps;3.94E+001;38;0.37;1,28
Mammal;Odobenus rosmarus;3.00E+005;38;0.151;1,28
Mammal;Odobenus rosmarus;3.00E+005;38;0.063;1,28
Mammal;Odobenus rosmarus;3.00E+005;38;0.063;1,28
Mammal;Odobenus rosmarus;3.00E+005;38;0.063;1,28
Mammal;Odocoileus virginianus;1.39E+004;38;0.256;1,28
Mammal;Odocoileus virginianus;1.39E+004;38;0.256;1,28
Mammal;Ondatra zibethicus;2.45E+002;38;0.909;1,28
Mammal;Ondatra zibethicus;2.45E+002;38;0.667;1,28
Mammal;Orcinus orca;1.38E+006;38;0.05;1,28
Mammal;Orcinus orca;1.38E+006;38;0.028;1,28
Mammal;Orcinus orca;1.38E+006;38;0.025;1,28
Mammal;Oreamnos americanus;1.81E+004;38;0.182;1,28
Mammal;Oreamnos americanus;1.81E+004;38;0.141;1,28
Mammal;Oreamnos americanus;1.81E+004;38;0.141;1,28
Mammal;Ornithorhynchus anatinus;3.71E+002;38;0.149;1,28
Mammal;Orycteropus afer;1.31E+004;38;0.11;1,28
Mammal;Oryctolagus cuniculus;3.95E+002;38;0.286;1,28
Mammal;Oryctolagus cuniculus;3.95E+002;38;0.256;1,28
Mammal;Oryctolagus cuniculus;3.95E+002;38;0.141;1,28
Mammal;Oryctolagus cuniculus;5.38E+002;38;0.286;1,28
Mammal;Oryctolagus cuniculus;5.38E+002;38;0.256;1,28
Mammal;Oryctolagus cuniculus;5.38E+002;38;0.141;1,28
Mammal;Otaria byronia;6.13E+004;38;0.127;1,28
Mammal;Ovibos moschatus;9.21E+004;38;0.105;1,28
Mammal;Ovis ammon;3.50E+004;38;0.196;1,28
Mammal;Ovis canadensis;1.87E+004;38;0.105;1,28
Mammal;Ovis dalli;1.83E+004;38;0.049;3
Mammal;Paguma hispida;1.63E+004;38;0.032;3
Mammal;Paguma larvata;1.10E+003;38;0.141;1,28
Mammal;Pan paniscus;8.50E+003;38;0.127;1,28
Mammal;Pan troglodytes;9.75E+003;38;0.055;3
Mammal;Pan troglodytes;1.13E+004;38;0.056;1,28
Mammal;Pan troglodytes;1.13E+004;38;0.05;1,28
Mammal;Pan troglodytes;1.13E+004;38;0.049;1,28
Mammal;Pan troglodytes;1.13E+004;38;0.042;1,28
Mammal;Panthera leo;3.90E+004;38;0.032;3
Mammal;Panthera leo;4.04E+004;38;0.169;1,28
Mammal;Panthera leo;4.04E+004;38;0.169;1,28
Mammal;Panthera leo;4.04E+004;38;0.087;1,28
Mammal;Panthera pardus;1.38E+004;38;0.213;1,28
Mammal;Panthera tigris;5.00E+004;38;0.169;1,28
Mammal;Panthera tigris;5.00E+004;38;0.097;1,28
Mammal;Panthera tigris;5.00E+004;38;0.096;1,28
Mammal;Papio hamadryas;5.31E+003;38;0.068;1,28
Mammal;Paradoxurus hermaphroditus;7.50E+002;38;0.115;1,28
Mammal;Parantechinus apicalis;1.72E+001;38;0.909;1,28
Mammal;Parantechinus bilarni;6.88E+000;38;0.909;1,28
Mammal;Parascalops breweri;1.28E+001;38;0.667;1,28
Mammal;Parascalops breweri;1.28E+001;38;0.526;1,28
Mammal;Pelea capreolus;5.00E+003;38;0.256;1,28
Mammal;Peponocephala electra;5.15E+004;38;0.053;1,28
Mammal;Petauroides volans;3.25E+002;38;0.435;1,28
Mammal;Petaurus australis;1.44E+002;38;0.256;1,28
Mammal;Petaurus breviceps;3.19E+001;38;0.182;1,28
Mammal;Phacochoerus aethiopicus;1.78E+004;38;0.169;1,28
Mammal;Phacochoerus aethiopicus;1.78E+004;38;0.135;1,28
Mammal;Phascolarctos cinereus;2.56E+003;38;0.196;1,28
Mammal;Phascolarctos cinereus;2.56E+003;38;0.149;1,28
Mammal;Phoca caspica;2.15E+004;38;0.072;1,28
Mammal;Phoca caspica;2.15E+004;38;0.053;1,28
Mammal;Phoca caspica;2.15E+004;38;0.05;1,28
Mammal;Phoca caspica;2.15E+004;38;0.05;1,28
Mammal;Phoca fasciata;2.25E+004;38;0.11;1,28
Mammal;Phoca fasciata;2.25E+004;38;0.084;1,28
Mammal;Phoca fasciata;2.25E+004;38;0.081;1,28
Mammal;Phoca groenlandica;3.00E+004;38;0.087;1,28
Mammal;Phoca groenlandica;3.00E+004;38;0.084;1,28
Mammal;Phoca groenlandica;3.00E+004;38;0.084;1,28
Mammal;Phoca hispida;1.63E+004;38;0.063;3
Mammal;Phoca hispida;2.50E+004;38;0.063;1,28
Mammal;Phoca hispida;2.50E+004;38;0.058;1,28
Mammal;Phoca hispida;2.50E+004;38;0.058;1,28
Mammal;Phoca hispida;2.50E+004;38;0.055;1,28
Mammal;Phoca sibirica;2.50E+004;38;0.048;1,28
Mammal;Phoca sibirica;2.50E+004;38;0.045;1,28
Mammal;Phoca sibirica;2.50E+004;38;0.045;1,28
Mammal;Phoca vitulina;2.50E+004;38;0.097;1,28
Mammal;Phoca vitulina;2.50E+004;38;0.079;1,28
Mammal;Phoca vitulina;2.50E+004;38;0.074;1,28
Mammal;Phoca vitulina;2.50E+004;38;0.063;1,28
Mammal;Phocoena phocoena;1.25E+004;38;0.196;1,28
Mammal;Phocoenoides dalli;2.50E+004;38;0.149;1,28
Mammal;Phocoenoides dalli;2.50E+004;38;0.115;1,28
Mammal;Physeter catodon;1.00E+007;38;0.033;1,28
Mammal;Pithecia pithecia;3.44E+002;38;0.182;1,28
Mammal;Pongo pygmaeus;1.25E+004;38;0.072;1,28
Mammal;Pongo pygmaeus;1.25E+004;38;0.043;1,28
Mammal;Pontoporia blainvillei;1.00E+004;38;0.159;1,28
Mammal;Potamochoerus porcus;1.75E+004;38;0.169;1,28
Mammal;Potamochoerus porcus;1.75E+004;38;0.127;1,28
Mammal;Potos flavus;4.09E+002;38;0.087;1,28
Mammal;Potos flavus;4.09E+002;38;0.087;1,28
Mammal;Priodontes maximus;1.13E+004;38;0.169;1,28
Mammal;Prionailurus bengalensis;1.25E+003;38;0.169;1,28
Mammal;Procavia capensis;7.58E+002;38;0.303;1,28
Mammal;Procavia capensis;7.58E+002;38;0.182;1,28
Mammal;Procyon cancrivorus;1.74E+003;38;0.182;1,28
Mammal;Procyon lotor;1.38E+003;38;0.127;1,28
Mammal;Proechimys semispinosus;9.01E+001;38;1.429;1,28
Mammal;Pseudocheirus peregrinus;2.25E+002;38;0.526;1,28
Mammal;Pseudocheirus peregrinus;2.25E+002;38;0.435;1,28
Mammal;Pseudois nayaur;1.60E+004;38;0.105;1,28
Mammal;Pseudorca crassidens;3.40E+005;38;0.115;1,28
Mammal;Rangifer tarandus;2.15E+004;38;0.323;1,28
Mammal;Rangifer tarandus;2.15E+004;38;0.256;1,28
Mammal;Rangifer tarandus;2.15E+004;38;0.169;1,28
Mammal;Rangifer tarandus;2.63E+004;38;0.076;3
Mammal;Rangifer tarandus;2.63E+004;38;0.076;3
Mammal;Redunca fulvorufula;7.38E+003;38;0.213;1,28
Mammal;Rhinoceros unicornis;4.00E+005;38;0.063;1,28
Mammal;Rhinoceros unicornis;4.00E+005;38;0.056;1,28
Mammal;Rhinoceros unicornis;4.00E+005;38;0.051;1,28
Mammal;Rhynchocyon chrysopygus;1.35E+002;38;0.667;1,28
Mammal;Rupicapra rupicapra;8.50E+003;38;0.219;3
Mammal;Rupicapra rupicapra;8.75E+003;38;0.127;1,28
Mammal;Saguinus caffer;1.17E+005;38;0.026;3
Mammal;Saguinus caffer;1.17E+005;38;0.092;3
Mammal;Saguinus caffer;1.17E+005;38;0.03;3
Mammal;Saguinus nigricollis;1.16E+002;38;0.256;1,28
Mammal;Saiga tatarica;1.00E+004;38;0.256;1,28
Mammal;Saiga tatarica;1.00E+004;38;0.213;1,28
Mammal;Saimiri sciureus;1.86E+002;38;0.12;1,28
Mammal;Scalopus aquaticus;2.28E+001;38;0.909;1,28
Mammal;Sciurus carolinensis;1.27E+002;38;0.204;1,28
Mammal;Sciurus carolinensis;1.27E+002;38;0.108;1,28
Mammal;Sciurus carolinensis;1.27E+002;38;0.107;1,28
Mammal;Sciurus vulgaris;7.50E+001;38;0.213;1,28
Mammal;Setonix brachyurus;8.13E+002;38;0.256;1,28
Mammal;Setonix brachyurus;8.13E+002;38;0.256;1,28
Mammal;Sicista betulina;2.50E+000;38;0.769;1,28
Mammal;Sminthopsis crassicaudata;3.75E+000;38;2.381;1,28
Mammal;Sminthopsis crassicaudata;3.75E+000;38;2;1,28
Mammal;Sorex alpinus;1.95E+000;38;2.381;1,28
Mammal;Sorex araneus;2.50E+000;38;1.429;1,28
Mammal;Sorex fumeus;1.93E+000;38;3.333;1,28
Mammal;Sorex minutus;1.13E+000;38;1.429;1,28
Mammal;Sorex vagrans;1.11E+000;38;2.381;1,28
Mammal;Spilocuscus maculatus;1.60E+003;38;0.233;1,28
Mammal;Stenella attenuata;2.50E+004;38;0.055;1,28
Mammal;Stenella coeruleoalba;2.50E+004;38;0.05;1,28
Mammal;Suncus etruscus;4.50E-001;38;2.381;1,28
Mammal;Suncus etruscus;4.50E-001;38;1.429;1,28
Mammal;Suncus murinus;2.17E+001;38;1.111;1,28
Mammal;Sundamys muelleri;1.06E+002;38;10;1,28
Mammal;Sus scrofa;2.16E+004;38;0.127;1,28
Mammal;Sus scrofa;2.16E+004;38;0.12;1,28
Mammal;Sylvilagus floridanus;2.93E+002;38;0.526;1,28
Mammal;Sylvilagus floridanus;2.93E+002;38;0.526;1,28
Mammal;Sylvilagus floridanus;3.03E+002;38;1.225;3
Mammal;Syncerus caffer;1.17E+005;38;0.026;3
Mammal;Syncerus caffer;1.45E+005;38;0.141;1,28
Mammal;Syncerus caffer;1.45E+005;38;0.097;1,28
Mammal;Syncerus caffer;1.45E+005;38;0.085;1,28
Mammal;Talpa europaea;2.25E+001;38;0.909;1,28
Mammal;Talpa europaea;2.25E+001;38;0.667;1,28
Mammal;Tamias striatus;2.80E+001;38;0.909;1,28
Mammal;Tamiasciurus hudsonicus;4.75E+001;38;0.437;3
Mammal;Tapirus indicus;5.00E+004;38;0.084;1,28
Mammal;Tapirus terrestris;5.19E+004;38;0.084;1,28
Mammal;Tapirus terrestris;5.19E+004;38;0.072;1,28
Mammal;Tarsipes rostratus;2.25E+000;38;1.429;1,28
Mammal;Tarsius bancanus;3.00E+001;38;0.323;1,28
Mammal;Taxidea taxus;1.78E+003;38;0.182;1,28
Mammal;Taxidea taxus;1.78E+003;38;0.182;1,28
Mammal;Taxidea taxus;1.78E+003;38;0.097;1,28
Mammal;Tayassu pecari;8.06E+003;38;0.192;1,28
Mammal;Tayassu pecari;8.06E+003;38;0.192;1,28
Mammal;Tetracerus quadricornis;4.75E+003;38;0.256;1,28
Mammal;Theropithecus gelada;4.26E+003;38;0.127;1,28
Mammal;Thomomys talpoides;3.25E+001;38;1.852;1,28
Mammal;Thryonomys swinderianus;1.02E+003;38;0.617;1,28
Mammal;Tragelaphus imberbis;2.04E+004;38;0.256;1,28
Mammal;Tragelaphus imberbis;2.04E+004;38;0.169;1,28
Mammal;Trichechus inunguis;1.00E+005;38;0.084;1,28
Mammal;Trichechus manatus;6.25E+004;38;0.084;1,28
Mammal;Trichosurus caninus;8.75E+002;38;0.213;1,28
Mammal;Trichosurus caninus;8.75E+002;38;0.149;1,28
Mammal;Trichosurus caninus;8.75E+002;38;0.149;1,28
Mammal;Trichosurus vulpecula;6.63E+002;38;0.196;1,28
Mammal;Trichosurus vulpecula;6.63E+002;38;0.196;1,28
Mammal;Tupaia glis;3.75E+001;38;0.213;1,28
Mammal;Tursiops truncatus;4.38E+004;38;0.101;1,28
Mammal;Tursiops truncatus;4.38E+004;38;0.101;1,28
Mammal;Tursiops truncatus;4.38E+004;38;0.101;1,28
Mammal;Ursus arctos;3.49E+004;38;0.101;1,28
Mammal;Ursus arctos;3.49E+004;38;0.084;1,28
Mammal;Vicugna vicugna;1.19E+004;38;0.127;1,28
Mammal;Vombatus ursinus;6.50E+003;38;0.526;1,28
Mammal;Vombatus ursinus;6.50E+003;38;0.097;1,28
Mammal;Vulpes cana;2.50E+002;38;0.256;1,28
Mammal;Vulpes chama;7.39E+002;38;0.256;1,28
Mammal;Vulpes pallida;7.00E+002;38;0.256;1,28
Mammal;Vulpes vulpes;1.03E+003;38;0.37;1,28
Mammal;Vulpes vulpes;1.03E+003;38;0.213;1,28
Mammal;Vulpes vulpes;1.49E+003;38;0.37;1,28
Mammal;Vulpes vulpes;1.49E+003;38;0.213;1,28
Mammal;Vulpes vulpes;1.50E+003;38;0.37;1,28
Mammal;Vulpes vulpes;1.50E+003;38;0.213;1,28
Mammal;Wallabia bicolor;3.75E+003;38;0.213;1,28
Mammal;Wallabia bicolor;3.75E+003;38;0.169;1,28
Mammal;Zalophus californianus;6.25E+004;38;0.149;1,28
Multicellular plant;Acacia victoriae;4.00E+002;19;0.028;29
Multicellular plant;Acacia victoriae;4.00E+002;19;0.201;29
Multicellular plant;Acacia victoriae;4.60E+002;19;0.135;29
Multicellular plant;Acacia victoriae;5.10E+002;19;0.073;29
Multicellular plant;Acacia victoriae;5.40E+002;19;0.128;29
Multicellular plant;Accer saccharum;2.10E+006;11;0.003;29
Multicellular plant;Aesculu soctandra;1.80E+006;11;0.001;29
Multicellular plant;Alchornea costaricensis;5.10E+005;28;0.03;29
Multicellular plant;Allium tricoccum;1.10E+000;4;0.131;29
Multicellular plant;Allium tricoccum;1.30E+000;4;0.091;29
Multicellular plant;Allium tricoccum;1.40E+000;4;0.336;29
Multicellular plant;Allium tricoccum;1.50E+000;4;0.219;29
Multicellular plant;Alseis blackiana;4.10E+005;28;0.006;29
Multicellular plant;Amphibolis antarctica;3.30E-001;19;0.584;29
Multicellular plant;Amphibolis griffithii;6.70E-001;19;1.095;29
Multicellular plant;Antarctic phytoplanktonic;2.10E-011;1;2.482;29
Multicellular plant;Antarctic phytoplanktonic;5.10E-010;1;0.438;29
Multicellular plant;Arisae matriphyllum;1.20E-001;8;2.555;29
Multicellular plant;Arisae matriphyllum;1.20E-001;8;4.745;29
Multicellular plant;Arisae matriphyllum;2.20E-001;8;1.606;29
Multicellular plant;Arisae matriphyllum;2.20E-001;;0.329;29
Multicellular plant;Arisae matriphyllum;2.40E-001;8;0.402;29
Multicellular plant;Arisae matriphyllum;2.50E-001;8;2.957;29
Multicellular plant;Arisae matriphyllum;3.40E-001;8;0.584;29
Multicellular plant;Arisae matriphyllum;3.40E-001;8;0.803;29
Multicellular plant;Arisae matriphyllum;3.70E-001;8;0.73;29
Multicellular plant;Arisae matriphyllum;3.70E-001;8;2.263;29
Multicellular plant;Arisae matriphyllum;4.70E-001;8;1.57;29
Multicellular plant;Arisae matriphyllum;4.90E-001;8;1.022;29
Multicellular plant;Arisae matriphyllum;4.90E-001;;1.679;29
Multicellular plant;Arisae matriphyllum;6.10E-001;8;0.621;29
Multicellular plant;Arisae matriphyllum;6.20E-001;8;0.84;29
Multicellular plant;Arisae matriphyllum;7.30E-001;8;1.022;29
Multicellular plant;Arisae matriphyllum;7.40E-001;8;0.329;29
Multicellular plant;Ascophyllum nodosum;1.70E+001;10;0.475;29
Multicellular plant;Ascophyllum nodosum;2.30E+001;10;0.124;29
Multicellular plant;Ascophyllum nodosum;2.80E+001;10;0.584;29
Multicellular plant;Ascophyllum nodosum;3.60E+001;;0.08;29
Multicellular plant;Ascophyllum nodosum;3.70E+001;10;0.767;29
Multicellular plant;Ascophyllum nodosum;4.30E+001;10;0.475;29
Multicellular plant;Avicennia alba;6.50E+000;28;0.329;29
Multicellular plant;Avicennia alba;6.50E+000;28;0.332;29
Multicellular plant;Avicennia alba;6.50E+000;28;1.278;29
Multicellular plant;Avicennia alba;6.50E+000;28;1.278;29
Multicellular plant;Avicennia alba;6.50E+000;28;2.409;29
Multicellular plant;Avicennia alba;6.50E+000;;0.913;29
Multicellular plant;Avicennia marina;3.90E+001;28;0.164;29
Multicellular plant;Avicennia officinalis;1.30E+001;;0.102;29
Multicellular plant;Betula alleghaniensis;1.10E+006;;0.006;29
Multicellular plant;Brachypodium pinnatum;2.70E-001;10;1.533;29
Multicellular plant;Brachypodium pinnatum;2.90E-001;10;1.314;29
Multicellular plant;Brachypodium pinnatum;3.20E-001;10;0.511;29
Multicellular plant;Bruguiera cylindrica;2.20E+000;28;0.511;29
Multicellular plant;Camelia japonica;2.50E+005;19;0.005;29
Multicellular plant;Camelia japonica;5.10E+005;19;0.009;29
Multicellular plant;Camelia sasnqua;2.20E+005;19;0.005;29
Multicellular plant;Camelia sasnqua;5.60E+005;19;0.012;29
Multicellular plant;Camellia japonica;5.00E+005;19;0.008;29
Multicellular plant;Camellia sasanqua;5.30E+005;19;0.012;29
Multicellular plant;Carex flacca;1.90E-001;10;0.08;29
Multicellular plant;Carex flacca;2.00E-001;10;0.548;29
Multicellular plant;Carex flacca;2.30E-001;10;0.223;29
Multicellular plant;Carnegiea gigantea;4.40E+002;20;0.012;29
Multicellular plant;Carnegiea gigantea;7.10E+002;20;0.009;29
Multicellular plant;Carnegiea gigantea;4.20E+003;20;0.011;29
Multicellular plant;Carnegiea gigantea;6.10E+003;20;0.013;29
Multicellular plant;Carpophyllum maschalocarpum;1.10E-002;18;0.402;29
Multicellular plant;Carpophyllum maschalocarpum;4.00E+000;18;1.46;29
Multicellular plant;Carulerpa prolifera;5.00E-002;21;0.876;29
Multicellular plant;Carulerpa racemosa;1.60E-003;21;21.17;29
Multicellular plant;Carulerpa taxifolia;3.20E-002;21;2.811;29
Multicellular plant;Catopsisssp.;2.30E-002;19;0.27;29
Multicellular plant;Cecropia obtusifolia;6.20E+004;25;0.055;29
Multicellular plant;Cecropia obtusifolia;9.60E+004;25;0.237;29
Multicellular plant;Cecropia obtusifolia;2.20E+005;25;0.032;29
Multicellular plant;Cecropia obtusifolia;5.00E+005;25;0.066;29
Multicellular plant;Cecropia obtusifolia;9.40E+005;25;0.204;29
Multicellular plant;Cephalanthus occidentalis;1.60E+001;;0.84;29
Multicellular plant;Ceriops tagal;3.40E+000;28;0.321;29
Multicellular plant;Clethra occidentalis;4.00E+004;19;0.006;29
Multicellular plant;Cleyera japonica;4.20E+005;19;0.005;29
Multicellular plant;Cleyera japonica;5.90E+005;19;0.011;29
Multicellular plant;Cleyera japonica;6.30E+005;;0.009;29
Multicellular plant;Codium bursa;4.20E+000;17;1.862;29
Multicellular plant;Codium bursa;4.20E+000;17;2.044;29
Multicellular plant;Codium bursa;4.20E+000;17;0.091;29
Multicellular plant;Codium fragile;7.30E+000;15;2.665;29
Multicellular plant;Cordia alliodora;6.20E+005;28;0.047;29
Multicellular plant;Costaria costaria;3.90E+001;11;8.76;29
Multicellular plant;Cymodocea nodosa;7.00E-003;19;1.387;29
Multicellular plant;Cymodocea nodosa;1.10E-002;17;0.657;29
Multicellular plant;Cymodocea nodosa;1.30E-002;19;2.373;29
Multicellular plant;Cymodocea nodosa;1.80E-002;19;2.519;29
Multicellular plant;Cymodocea nodosa;1.80E-002;19;1.241;29
Multicellular plant;Cymodocea nodosa;1.90E-002;19;1.059;29
Multicellular plant;Cymodocea nodosa;1.90E-002;19;2.336;29
Multicellular plant;Cymodocea nodosa;2.20E-002;17;0.694;29
Multicellular plant;Cymodocea nodosa;2.20E-002;19;5.11;29
Multicellular plant;Cymodocea nodosa;2.30E-002;19;0.365;29
Multicellular plant;Cymodocea nodosa;2.80E-002;19;0.803;29
Multicellular plant;Cymodocea nodosa;3.00E-002;20;0.402;29
Multicellular plant;Cymodocea nodosa;3.00E-002;20;0.986;29
Multicellular plant;Cymodocea nodosa;3.00E-002;20;1.205;29
Multicellular plant;Cymodocea nodosa;3.30E-002;;0.767;29
Multicellular plant;Cymodocea nodosa;3.80E-002;19;2.701;29
Multicellular plant;Cymodocea nodosa;4.00E-002;20;0.694;29
Multicellular plant;Cymodocea nodosa;4.10E-002;20;1.387;29
Multicellular plant;Cymodocea nodosa;4.90E-002;20;0.621;29
Multicellular plant;Cymodocea nodosa;5.00E-002;20;1.241;29
Multicellular plant;Cymodocea nodosa;5.20E-002;19;0.584;29
Multicellular plant;Cymodocea nodosa;5.30E-002;19;0.511;29
Multicellular plant;Cymodocea nodosa;7.00E-002;20;1.314;29
Multicellular plant;Cymodocea nodosa;1.00E-001;19;1.46;29
Multicellular plant;Cymodocea nodosa;1.30E-001;17;1.205;29
Multicellular plant;Cymodocea nodosa;1.30E-001;19;2.446;29
Multicellular plant;Cymodocea nodosa;1.30E-001;20;0.949;29
Multicellular plant;Cymodocea nodosa;1.30E-001;22;3.103;29
Multicellular plant;Cymodocea nodosa;1.80E-001;17;1.387;29
Multicellular plant;Cymodocea nodosa;2.00E-001;20;0.876;29
Multicellular plant;Cymodocea nodosa;2.50E-001;20;1.643;29
Multicellular plant;Cymodocea nodosa;2.70E-001;17;1.059;29
Multicellular plant;Cymodocea nodosa;2.90E-001;17;3.65;29
Multicellular plant;Cymodocea nodosa;3.20E-001;17;1.022;29
Multicellular plant;Cymodocea rotundata;1.20E-001;28;0.803;29
Multicellular plant;Cymodocea serrulata;1.50E-001;28;2.884;29
Multicellular plant;Cynoglossum officinale;2.10E+000;10;0.767;29
Multicellular plant;Cynoglossum officinale;2.80E+000;10;0.069;29
Multicellular plant;Cynoglossum officinale;3.80E+000;10;0.343;29
Multicellular plant;Cystoseira humilis;3.10E-001;18;1.497;29
Multicellular plant;Distylim racemosum;6.90E+006;19;0.008;29
Multicellular plant;Distylim racemosum;8.30E+006;19;0.01;29
Multicellular plant;Distylim racemosum;1.10E+007;19;0.008;29
Multicellular plant;Dityllum brightwellii;8.30E-008;;87.6;29
Multicellular plant;Dityllum brightwellii;8.30E-008;;21.9;29
Multicellular plant;Drepanocladusex annulatus;1.60E-002;12;0.245;29
Multicellular plant;Drepanocladusex annulatus;1.80E-002;6;0.511;29
Multicellular plant;Drepanocladusex annulatus;1.90E-002;9;0.511;29
Multicellular plant;Drymis winteri;9.50E+003;;0.01;29
Multicellular plant;Drymis winteri;1.70E+004;;0.01;29
Multicellular plant;Dryobalanops lanceolata;2.20E+005;26;0.011;29
Multicellular plant;Enhalusa coroides;2.50E+000;28;0.234;29
Multicellular plant;Eurya japonica;5.20E+004;19;0.03;29
Multicellular plant;Eurya japonica;9.00E+004;19;0.022;29
Multicellular plant;Eurya japonica;9.40E+004;19;0.02;29
Multicellular plant;Excoecaria agallocha;2.20E+000;28;1.022;29
Multicellular plant;Fagus grandifolia;1.00E+006;11;0.012;29
Multicellular plant;Faramea juveniles;2.80E-005;28;;29
Multicellular plant;Fucus distichus;7.30E-004;11;3.03;29
Multicellular plant;Fucus distichus;6.70E-003;11;2.117;29
Multicellular plant;Fucus distichus;1.30E-002;11;1.679;29
Multicellular plant;Fucus distichus;4.00E-002;11;2.446;29
Multicellular plant;Fucus distichus;3.50E-001;11;1.424;29
Multicellular plant;Fucus gardneri;2.20E-001;13;0.511;29
Multicellular plant;Fucus gardneri;1.20E+000;13;0.657;29
Multicellular plant;Guarea glabra;4.00E+005;28;0.01;29
Multicellular plant;Guatteria dumetorum;1.20E+006;28;0.005;29
Multicellular plant;Gustavia superba;2.40E+005;28;0.003;29
Multicellular plant;Halesia carolina;8.90E+005;11;0.005;29
Multicellular plant;Halodule uninervis;5.00E-002;28;1.825;29
Multicellular plant;Halodule wrightii;3.00E-002;;3.577;29
Multicellular plant;Hasseltia floribunda;2.20E+005;28;0.026;29
Multicellular plant;Hedyosmum arborescens;1.10E+004;19;0.016;29
Multicellular plant;Heisterai concinna;1.80E+005;28;0.011;29
Multicellular plant;Heterozostera tasmanica;5.00E-002;19;3.65;29
Multicellular plant;Hirtella triandra;2.00E+005;28;0.011;29
Multicellular plant;Hura crepitans;1.60E+006;28;0.005;29
Multicellular plant;Illicium anisatum;3.20E+005;19;0.018;29
Multicellular plant;Illicium anisatum;3.90E+005;19;0.024;29
Multicellular plant;Illicium anisatum;4.80E+005;19;0.02;29
Multicellular plant;Impatiens capensis;1.50E-001;8;2.117;29
Multicellular plant;Impatiens pallida;7.50E-001;;8.03;29
Multicellular plant;Impatiens pallida;1.10E+000;6;6.57;29
Multicellular plant;Iris pseudacorus;1.30E+000;;0.212;29
Multicellular plant;Iris pseudacorus;3.80E+001;;0.08;29
Multicellular plant;Iris pseudacorus;6.70E+001;;0.153;29
Multicellular plant;Iris pseudacorus;1.20E+002;;0.084;29
Multicellular plant;Jacaranda copaia;2.20E+006;28;0.058;29
Multicellular plant;Laminaria longicruris;1.50E+003;10;1.059;29
Multicellular plant;Laminaria saccharina;5.80E+000;12;4.015;29
Multicellular plant;Laminaria saccharina;1.00E+001;12;3.468;29
Multicellular plant;Laminaria saccharina;1.20E+001;12;5.475;29
Multicellular plant;Leathesia difformis;1.40E-002;10;4.38;29
Multicellular plant;Litsea acuminata;2.00E+006;19;0.02;29
Multicellular plant;Litsea acuminata;2.30E+006;19;0.019;29
Multicellular plant;Litsea acuminata;2.50E+006;19;0.019;29
Multicellular plant;Lyonia octandra;1.10E+004;19;0.006;29
Multicellular plant;Macaranga beccariana;4.10E+005;27;0.002;29
Multicellular plant;Macaranga gigantea;1.90E+006;27;0.001;29
Multicellular plant;Macaranga hosei;2.30E+006;27;0.001;29
Multicellular plant;Macaranga hullettii;4.60E+005;27;0.001;29
Multicellular plant;Macaranga hypoleuca;8.80E+005;27;0;29
Multicellular plant;Macaranga lamellata;2.80E+005;27;0;29
Multicellular plant;Macaranga trachyphylla;7.80E+005;27;0.001;29
Multicellular plant;Macaranga triloba;8.70E+005;27;0;29
Multicellular plant;Macaranga winkleri;7.80E+005;27;0.003;29
Multicellular plant;Mercurialis perennis;3.70E-001;10;0.767;29
Multicellular plant;Micromona spusilla;1.90E-012;;182.5;29
Multicellular plant;Myrsinese guinii;4.50E+004;19;0.002;29
Multicellular plant;Myrsinese guinii;2.90E+005;19;0.004;29
Multicellular plant;Myrsinese guinii;3.20E+005;19;0.008;29
Multicellular plant;Neolitsea aciculata;9.80E+005;;0.022;29
Multicellular plant;Neolitsea aciculata;1.50E+006;19;0.019;29
Multicellular plant;Neolitsea aciculata;1.60E+006;19;0.023;29
Multicellular plant;Nereocystis luetkeana;4.20E+001;11;13.14;29
Multicellular plant;Nothofagus betuloides;1.80E+004;;0.01;29
Multicellular plant;Nothofagus betuloides;6.20E+004;;0.005;29
Multicellular plant;Nothofagus betuloides;2.70E+005;;0.005;29
Multicellular plant;Nothofagus betuloides;2.70E+005;;0.004;29
Multicellular plant;Nothofagus betuloides;7.50E+005;;0.004;29
Multicellular plant;Nothofagus pumilio;2.40E+005;;0.005;29
Multicellular plant;Nothofagus pumilio;3.20E+005;;0.005;29
Multicellular plant;Nyssa aquatica;1.30E+001;;1.898;29
Multicellular plant;Ormosia coccinea;4.70E+005;28;0.044;29
Multicellular plant;Palmaria palmata;6.00E-002;16;2.336;29
Multicellular plant;Panax quinquefolium;4.30E-001;12;0.102;29
Multicellular plant;Parashorea macrophylla;2.40E+005;26;0.026;29
Multicellular plant;Pelvetia fastigiata;6.90E+002;17;1.132;29
Multicellular plant;Phaeocystis pouchetii;5.10E-011;;292;29
Multicellular plant;Phaeodactyllum tricornutum;1.90E-011;18;6.57;29
Multicellular plant;Phaeodactyllum tricornutum;1.90E-011;18;2.92;29
Multicellular plant;Piceaen gelmanii;1.00E+004;11;0.009;29
Multicellular plant;Pinus sylvestris;3.10E+004;9;0.018;29
Multicellular plant;Podocarpus nagi;2.40E+005;19;0.022;29
Multicellular plant;Podocarpus nagi;1.20E+006;19;0.019;29
